"time{s}","ControlVolume1\C\p.T{K}","ControlVolume2\C\p.T{K}"
91.35000000001,329.875480444378,329.891490719758
91.36000000001,329.875555199837,329.89155586344
91.37000000001,329.875629910417,329.891620968013
91.38000000001,329.875704576144,329.8916860335
91.39000000001,329.875779197045,329.891751059925
91.40000000001,329.875853773148,329.891816047311
91.41000000001,329.875928304479,329.891880995682
91.42000000001,329.876002791064,329.891945905061
91.43000000001,329.876077232932,329.892010775472
91.44000000001,329.876151630108,329.892075606938
91.4500000000101,329.87622598262,329.892140399482
91.4600000000101,329.876300290495,329.892205153128
91.4700000000101,329.876374553758,329.892269867899
91.4800000000101,329.876448772438,329.892334543818
91.4900000000101,329.87652294656,329.892399180909
91.5000000000101,329.876597076152,329.892463779195
91.5100000000101,329.87667116124,329.892528338699
91.5200000000101,329.876745201851,329.892592859445
91.5300000000101,329.876819198011,329.892657341456
91.5400000000101,329.876893149748,329.892721784755
91.5500000000101,329.876967057088,329.892786189365
91.5600000000101,329.877040920058,329.89285055531
91.5700000000101,329.877114738683,329.892914882613
91.5800000000101,329.877188512992,329.892979171296
91.5900000000101,329.87726224301,329.893043421384
91.6000000000101,329.877335928765,329.8931076329
91.6100000000101,329.877409570282,329.893171805865
91.6200000000101,329.877483167588,329.893235940305
91.6300000000101,329.87755672071,329.893300036241
91.6400000000101,329.877630229674,329.893364093697
91.6500000000102,329.877703694507,329.893428112697
91.6600000000102,329.877777115236,329.893492093262
91.6700000000102,329.877850491886,329.893556035416
91.6800000000102,329.877923824485,329.893619939183
91.6900000000102,329.877997113058,329.893683804585
91.7000000000102,329.878070357632,329.893747631645
91.7100000000102,329.878143558234,329.893811420387
91.7200000000102,329.87821671489,329.893875170833
91.7300000000102,329.878289827626,329.893938883006
91.7400000000102,329.878362896469,329.89400255693
91.7500000000102,329.878435921445,329.894066192627
91.7600000000102,329.87850890258,329.89412979012
91.7700000000102,329.878581839901,329.894193349432
91.7800000000102,329.878654733434,329.894256870587
91.7900000000102,329.878727583205,329.894320353606
91.8000000000102,329.878800389241,329.894383798513
91.8100000000102,329.878873151567,329.894447205331
91.8200000000102,329.878945870211,329.894510574083
91.8300000000102,329.879018545198,329.894573904791
91.8400000000102,329.879091176554,329.894637197478
91.8500000000103,329.879163764307,329.894700452168
91.8600000000103,329.879236308481,329.894763668882
91.8700000000103,329.879308809103,329.894826847644
91.8800000000103,329.879381266199,329.894889988477
91.8900000000103,329.879453679795,329.894953091403
91.9000000000103,329.879526049918,329.895016156446
91.9100000000103,329.879598376594,329.895079183627
91.9200000000103,329.879670659848,329.895142172969
91.9300000000103,329.879742899706,329.895205124496
91.9400000000103,329.879815096196,329.89526803823
91.9500000000103,329.879887249342,329.895330914193
91.9600000000103,329.879959359171,329.895393752409
91.9700000000103,329.880031425709,329.895456552899
91.9800000000103,329.880103448981,329.895519315688
91.9900000000103,329.880175429015,329.895582040797
92.0000000000103,329.880247365835,329.895644728248
92.0100000000103,329.880319259467,329.895707378065
92.0200000000103,329.880391109939,329.89576999027
92.0300000000103,329.880462917274,329.895832564886
92.0400000000104,329.8805346815,329.895895101935
92.0500000000104,329.880606402643,329.89595760144
92.0600000000104,329.880678080727,329.896020063423
92.0700000000104,329.88074971578,329.896082487907
92.0800000000104,329.880821307826,329.896144874915
92.0900000000104,329.880892856892,329.896207224468
92.1000000000104,329.880964363003,329.89626953659
92.1100000000104,329.881035826186,329.896331811302
92.1200000000104,329.881107246466,329.896394048628
92.1300000000104,329.881178623868,329.896456248589
92.1400000000104,329.881249958419,329.896518411209
92.1500000000104,329.881321250144,329.896580536509
92.1600000000104,329.881392499069,329.896642624512
92.1700000000104,329.88146370522,329.896704675241
92.1800000000104,329.881534868622,329.896766688717
92.1900000000104,329.881605989301,329.896828664964
92.2000000000104,329.881677067283,329.896890604003
92.2100000000104,329.881748102592,329.896952505857
92.2200000000104,329.881819095256,329.897014370548
92.2300000000104,329.881890045299,329.897076198098
92.2400000000105,329.881960952748,329.89713798853
92.2500000000105,329.882031817626,329.897199741866
92.2600000000105,329.882102639962,329.897261458129
92.2700000000105,329.882173419778,329.89732313734
92.2800000000105,329.882244157102,329.897384779522
92.2900000000105,329.882314851959,329.897446384696
92.3000000000105,329.882385504374,329.897507952886
92.3100000000105,329.882456114373,329.897569484114
92.3200000000105,329.882526681981,329.897630978401
92.3300000000105,329.882597207224,329.89769243577
92.3400000000105,329.882667690127,329.897753856243
92.3500000000105,329.882738130715,329.897815239842
92.3600000000105,329.882808529015,329.89787658659
92.3700000000105,329.88287888505,329.897937896507
92.3800000000105,329.882949198847,329.897999169618
92.3900000000105,329.883019470432,329.898060405943
92.4000000000105,329.883089699828,329.898121605504
92.4100000000105,329.883159887063,329.898182768324
92.4200000000105,329.88323003216,329.898243894426
92.4300000000106,329.883300135146,329.89830498383
92.4400000000106,329.883370196045,329.898366036558
92.4500000000106,329.883440214883,329.898427052634
92.4600000000106,329.883510191686,329.898488032079
92.4700000000106,329.883580126477,329.898548974915
92.4800000000106,329.883650019283,329.898609881163
92.4900000000106,329.883719870129,329.898670750846
92.5000000000106,329.88378967904,329.898731583987
92.5100000000106,329.883859446041,329.898792380605
92.5200000000106,329.883929171158,329.898853140725
92.5300000000106,329.883998854415,329.898913864367
92.5400000000106,329.884068495837,329.898974551554
92.5500000000106,329.88413809545,329.899035202307
92.5600000000106,329.884207653279,329.899095816648
92.5700000000106,329.884277169349,329.899156394599
92.5800000000106,329.884346643685,329.899216936183
92.5900000000106,329.884416076312,329.89927744142
92.6000000000106,329.884485467254,329.899337910332
92.6100000000106,329.884554816538,329.899398342942
92.6200000000106,329.884624124188,329.899458739271
92.6300000000107,329.884693390229,329.899519099342
92.6400000000107,329.884762614686,329.899579423175
92.6500000000107,329.884831797584,329.899639710792
92.6600000000107,329.884900938949,329.899699962216
92.6700000000107,329.884970038804,329.899760177468
92.6800000000107,329.885039097174,329.899820356569
92.6900000000107,329.885108114086,329.899880499542
92.7000000000107,329.885177089563,329.899940606408
92.7100000000107,329.885246023631,329.900000677188
92.7200000000107,329.885314916314,329.900060711905
92.7300000000107,329.885383767637,329.90012071058
92.7400000000107,329.885452577625,329.900180673235
92.7500000000107,329.885521346303,329.900240599891
92.7600000000107,329.885590073696,329.90030049057
92.7700000000107,329.885658759828,329.900360345294
92.7800000000107,329.885727404725,329.900420164084
92.7900000000107,329.88579600841,329.900479946961
92.8000000000107,329.885864570909,329.900539693948
92.8100000000107,329.885933092247,329.900599405066
92.8200000000108,329.886001572447,329.900659080336
92.8300000000108,329.886070011536,329.900718719779
92.8400000000108,329.886138409537,329.900778323419
92.8500000000108,329.886206766475,329.900837891275
92.8600000000108,329.886275082375,329.900897423369
92.8700000000108,329.886343357262,329.900956919723
92.8800000000108,329.886411591159,329.901016380359
92.8900000000108,329.886479784092,329.901075805297
92.9000000000108,329.886547936086,329.90113519456
92.9100000000108,329.886616047165,329.901194548168
92.9200000000108,329.886684117353,329.901253866142
92.9300000000108,329.886752146674,329.901313148506
92.9400000000108,329.886820135155,329.901372395279
92.9500000000108,329.886888082818,329.901431606483
92.9600000000108,329.886955989689,329.90149078214
92.9700000000108,329.887023855792,329.90154992227
92.9800000000108,329.887091681152,329.901609026896
92.9900000000108,329.887159465792,329.901668096038
93.0000000000108,329.887227209738,329.901727129718
93.0100000000108,329.887294913014,329.901786127957
93.0200000000109,329.887362575644,329.901845090776
93.0300000000109,329.887430197653,329.901904018197
93.0400000000109,329.887497779065,329.90196291024
93.0500000000109,329.887565319904,329.902021766928
93.0600000000109,329.887632820195,329.902080588281
93.0700000000109,329.887700279962,329.902139374321
93.0800000000109,329.88776769923,329.902198125068
93.0900000000109,329.887835078022,329.902256840544
93.1000000000109,329.887902416363,329.902315520771
93.1100000000109,329.887969714278,329.902374165768
93.1200000000109,329.88803697179,329.902432775558
93.1300000000109,329.888104188925,329.902491350161
93.1400000000109,329.888171365705,329.9025498896
93.1500000000109,329.888238502156,329.902608393893
93.1600000000109,329.888305598301,329.902666863064
93.1700000000109,329.888372654165,329.902725297133
93.1800000000109,329.888439669772,329.902783696121
93.1900000000109,329.888506645146,329.902842060048
93.2000000000109,329.888573580311,329.902900388937
93.210000000011,329.888640475292,329.902958682808
93.220000000011,329.888707330112,329.903016941683
93.230000000011,329.888774144796,329.903075165581
93.240000000011,329.888840919368,329.903133354525
93.250000000011,329.888907653852,329.903191508535
93.260000000011,329.888974348271,329.903249627632
93.270000000011,329.88904100265,329.903307711837
93.280000000011,329.889107617013,329.903365761171
93.290000000011,329.889174191385,329.903423775656
93.300000000011,329.889240725788,329.903481755311
93.310000000011,329.889307220247,329.903539700158
93.320000000011,329.889373674786,329.903597610218
93.330000000011,329.889440089429,329.903655485511
